open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-20 20:00:00,70177.85,70259.28,69754.71,70057.66,435.39665,2026-03-20 20:59:59.999,30481116.0043509,133775,215.06058,15057870.4671932,0
2026-03-20 21:00:00,70057.66,70726.13,69946.65,70540.73,780.46042,2026-03-20 21:59:59.999,54974110.4109655,170683,395.03924,27827182.8926799,0
2026-03-20 22:00:00,70540.72,70923.75,70532.0,70767.85,591.69583,2026-03-20 22:59:59.999,41874784.3225354,122849,300.29425,21252105.2227182,0
2026-03-20 23:00:00,70767.85,70771.13,70430.0,70510.73,372.60008,2026-03-20 23:59:59.999,26282263.8830011,97352,174.97621,12339756.3471025,0
2026-03-21 00:00:00,70510.73,70826.0,70467.36,70682.19,274.67077,2026-03-21 00:59:59.999,19405449.3986766,96177,169.15519,11952860.5102802,0
2026-03-21 01:00:00,70682.2,70758.5,70445.36,70464.59,375.95226,2026-03-21 01:59:59.999,26534792.438015,69998,154.45884,10906254.4557923,0
2026-03-21 02:00:00,70464.6,70785.9,70431.67,70737.6,316.88084,2026-03-21 02:59:59.999,22370737.7659312,68014,201.04398,14192879.1248936,0
2026-03-21 03:00:00,70737.6,70784.07,70632.39,70657.35,226.82019,2026-03-21 03:59:59.999,16033191.9620646,56042,62.52815,4419808.6900916,0
2026-03-21 04:00:00,70657.35,70819.0,70617.05,70642.13,487.10407,2026-03-21 04:59:59.999,34443455.0160256,70878,264.12264,18677249.464946,0
2026-03-21 05:00:00,70642.14,70834.46,70635.1,70697.94,941.44912,2026-03-21 05:59:59.999,66603042.4535142,71248,554.01103,39195238.1042482,0
2026-03-21 06:00:00,70697.94,70831.14,70693.06,70774.65,857.26608,2026-03-21 06:59:59.999,60670292.1252123,66267,375.51803,26575005.7309958,0
2026-03-21 07:00:00,70773.55,70879.76,70677.44,70727.33,431.42703,2026-03-21 07:59:59.999,30532258.996225,57015,224.39041,15880022.983717,0
2026-03-21 08:00:00,70727.33,70753.79,70492.02,70594.43,956.10118,2026-03-21 08:59:59.999,67518854.9824309,77638,348.51309,24606216.8227858,0
2026-03-21 09:00:00,70594.42,70735.36,70570.4,70661.59,204.69969,2026-03-21 09:59:59.999,14464878.7014822,53011,89.96878,6357957.3403568,0
2026-03-21 10:00:00,70661.59,70695.32,70559.69,70605.64,524.32782,2026-03-21 10:59:59.999,37025258.3172845,42966,245.1937,17321678.6046276,0
2026-03-21 11:00:00,70605.64,70652.73,70567.79,70652.72,360.21459,2026-03-21 11:59:59.999,25434634.4188194,28847,284.08518,20059421.1514276,0
2026-03-21 12:00:00,70652.73,70800.0,70652.73,70722.61,199.41863,2026-03-21 12:59:59.999,14106130.8143339,51001,99.56019,7042657.9988177,0
2026-03-21 13:00:00,70722.61,70812.74,70707.12,70740.18,171.5437,2026-03-21 13:59:59.999,12135958.9607566,44402,95.27531,6740278.623621,0
2026-03-21 14:00:00,70740.18,71100.94,70592.53,70629.1,873.72717,2026-03-21 14:59:59.999,61936438.3848319,106164,458.78074,32541148.4594017,0
2026-03-21 15:00:00,70629.09,70760.0,70453.09,70630.02,399.45062,2026-03-21 15:59:59.999,28208569.2160207,74229,115.52671,8158132.7823083,0
2026-03-21 16:00:00,70630.02,70652.64,70251.0,70301.66,435.70425,2026-03-21 16:59:59.999,30701496.8712734,76254,150.61495,10607744.5109579,0
2026-03-21 17:00:00,70301.66,70426.18,70210.0,70304.08,444.648,2026-03-21 17:59:59.999,31287458.6722962,57273,261.83878,18426976.4218456,0
2026-03-21 18:00:00,70303.45,70534.38,70290.48,70389.19,200.5858,2026-03-21 18:59:59.999,14124440.9230679,40969,114.40981,8057290.4394987,0
2026-03-21 19:00:00,70389.18,70448.79,70324.7,70396.0,140.45698,2026-03-21 19:59:59.999,9888500.0905668,32378,68.06685,4791996.2680488,0
2026-03-21 20:00:00,70396.01,70508.11,70358.9,70462.28,697.39549,2026-03-21 20:59:59.999,49130109.4041652,43747,368.03195,25931999.4768281,0
2026-03-21 21:00:00,70462.27,70516.82,70268.06,70345.57,629.83259,2026-03-21 21:59:59.999,44342352.9752723,49380,294.03196,20709908.5138829,0
2026-03-21 22:00:00,70345.57,70384.95,70265.55,70277.22,737.88495,2026-03-21 22:59:59.999,51880485.9636608,49969,428.89667,30156267.0129906,0
2026-03-21 23:00:00,70277.21,70293.82,68571.42,68918.12,2509.60568,2026-03-21 23:59:59.999,173915093.1744968,256219,951.67019,65847367.4417909,0
2026-03-22 00:00:00,68918.12,69155.86,68228.5,68954.71,2161.16442,2026-03-22 00:59:59.999,148582479.946055,367565,1101.38693,75739058.6889353,0
2026-03-22 01:00:00,68954.7,69100.0,68762.31,68962.4,809.55651,2026-03-22 01:59:59.999,55826958.6184656,143545,408.40998,28168959.954414,0
2026-03-22 02:00:00,68962.4,69411.1,68951.21,69278.12,506.62838,2026-03-22 02:59:59.999,35062455.402669,136935,295.53734,20453133.7726635,0
2026-03-22 03:00:00,69278.12,69588.79,69123.13,69339.99,671.1404,2026-03-22 03:59:59.999,46551314.3299314,126421,344.11045,23866710.4988547,0
2026-03-22 04:00:00,69340.0,69526.85,69215.89,69358.0,626.75701,2026-03-22 04:59:59.999,43467744.8603295,92158,378.67115,26263706.0945185,0
2026-03-22 05:00:00,69358.0,69358.0,69150.0,69153.41,322.14134,2026-03-22 05:59:59.999,22300123.3676617,69460,120.08091,8311424.6375514,0
2026-03-22 06:00:00,69153.41,69245.79,69059.87,69164.06,378.08519,2026-03-22 06:59:59.999,26142665.6098258,71456,173.24622,11978537.5824781,0
2026-03-22 07:00:00,69164.06,69250.08,68892.93,68919.38,432.94301,2026-03-22 07:59:59.999,29913547.40772,88187,187.53801,12959695.4787893,0
2026-03-22 08:00:00,68919.37,68990.67,68523.96,68804.77,1053.77702,2026-03-22 08:59:59.999,72448197.0630733,151020,411.86597,28323106.7918874,0
2026-03-22 09:00:00,68804.77,68901.65,68587.78,68826.2,383.82763,2026-03-22 09:59:59.999,26392580.3100595,101810,186.07681,12796875.3791612,0
2026-03-22 10:00:00,68826.21,68847.83,68584.27,68648.17,360.03346,2026-03-22 10:59:59.999,24736844.4503235,83416,185.92382,12772897.3472235,0
2026-03-22 11:00:00,68648.16,68691.03,68110.55,68217.95,784.4316,2026-03-22 11:59:59.999,53643521.3441214,161951,361.78492,24743723.1474894,0
2026-03-22 12:00:00,68217.94,68763.18,68199.04,68654.83,484.243,2026-03-22 12:59:59.999,33167690.1516101,137952,314.90531,21566881.8126425,0
2026-03-22 13:00:00,68654.83,68957.24,68548.32,68700.02,548.07349,2026-03-22 13:59:59.999,37687958.9033296,120737,306.87403,21101715.1945945,0
2026-03-22 14:00:00,68700.02,68915.27,68542.1,68711.66,385.54476,2026-03-22 14:59:59.999,26501930.1461422,113564,201.1362,13826561.6336786,0
2026-03-22 15:00:00,68711.66,69005.71,68700.0,68847.96,391.17296,2026-03-22 15:59:59.999,26931920.972406,105167,225.94324,15559377.0436996,0
2026-03-22 16:00:00,68847.97,68885.53,68665.62,68805.58,258.25035,2026-03-22 16:59:59.999,17758720.8148598,66985,128.42687,8831271.9330034,0
2026-03-22 17:00:00,68805.58,68848.32,68665.34,68673.02,252.16281,2026-03-22 17:59:59.999,17337039.1028039,68536,84.97551,5843691.7202469,0
2026-03-22 18:00:00,68672.85,68743.18,68344.57,68618.58,340.01718,2026-03-22 18:59:59.999,23311468.182903,87870,134.64772,9232220.0058332,0
2026-03-22 19:00:00,68618.57,68626.07,68145.01,68199.93,472.99305,2026-03-22 19:59:59.999,32325243.9586865,99026,157.82885,10784369.4962822,0
2026-03-22 20:00:00,68199.93,68498.4,68080.0,68176.46,319.53245,2026-03-22 20:59:59.999,21820024.6954655,107966,153.24118,10466142.8476257,0
2026-03-22 21:00:00,68176.47,68228.71,67360.66,67899.97,1535.47353,2026-03-22 21:59:59.999,104013959.1378057,295974,662.10631,44847997.0422109,0
2026-03-22 22:00:00,67899.97,68396.94,67571.67,68339.37,856.561,2026-03-22 22:59:59.999,58308016.2851174,283518,519.24353,35339852.4523122,0
2026-03-22 23:00:00,68339.38,68474.0,67839.99,67859.0,509.27627,2026-03-22 23:59:59.999,34694070.258332,187933,248.36207,16922177.6957389,0
2026-03-23 00:00:00,67859.0,68161.41,67445.18,67669.99,823.69218,2026-03-23 00:59:59.999,55883049.5501282,295600,419.87487,28494425.061676,0
2026-03-23 01:00:00,67670.0,68157.31,67536.01,67905.0,628.21786,2026-03-23 01:59:59.999,42680039.5446919,227841,309.02578,20994803.8254908,0
2026-03-23 02:00:00,67905.0,68400.0,67801.67,68320.72,627.90507,2026-03-23 02:59:59.999,42788203.2431608,173508,367.01686,25002480.5470148,0
2026-03-23 03:00:00,68320.72,68585.12,68059.88,68074.6,415.80047,2026-03-23 03:59:59.999,28383728.4971708,148043,191.92998,13101321.6890798,0
2026-03-23 04:00:00,68074.6,68550.0,68057.56,68541.0,486.61149,2026-03-23 04:59:59.999,33238892.4936148,104776,362.15043,24741089.7670708,0
2026-03-23 05:00:00,68541.0,68915.4,68541.0,68899.92,1162.54953,2026-03-23 05:59:59.999,79881933.7912627,187688,676.30235,46472773.6664655,0
2026-03-23 06:00:00,68899.92,68904.42,67698.86,67874.19,1218.88217,2026-03-23 06:59:59.999,83204700.8616866,261593,531.68844,36288055.9441299,0
2026-03-23 07:00:00,67874.2,68464.42,67502.48,68333.16,1946.35809,2026-03-23 07:59:59.999,132575275.2747228,302421,1133.44197,77223086.4238469,0
2026-03-23 08:00:00,68333.16,68696.91,68328.55,68434.26,1238.43118,2026-03-23 08:59:59.999,84871298.0112531,239004,598.10001,40987133.8806492,0
2026-03-23 09:00:00,68434.27,68471.11,67916.14,68334.01,382.31585,2026-03-23 09:59:59.999,26074091.5403326,182959,183.49295,12515020.8083014,0
